Symbol,Count,Frequency,MedianOccurence,MinOccurence
contr,294,0.03138413649323907,1346.5,14.0
soit ,293,0.03127738772965662,1483.0,9.0
s con,293,0.03127738772965662,1889.0,21.0
sans ,293,0.03127738772965662,1892.0,11.0
utre ,292,0.031170638966074173,1484.5,16.0
n que,291,0.03106389020249173,1460.0,13.0
cause,291,0.03106389020249173,602.0,22.0
leur ,290,0.030957141438909284,1365.5,12.0
faire,290,0.030957141438909284,1687.0,29.0
core ,289,0.030850392675326837,1816.0,55.0
tous ,289,0.030850392675326837,1538.0,21.0
e est,288,0.030743643911744393,1553.5,26.0
 conc,288,0.030743643911744393,1056.0,17.0
 le c,288,0.030743643911744393,1392.0,13.0
ence ,288,0.030743643911744393,1434.5,14.0
ent l,287,0.030636895148161945,1877.0,20.0
corps,287,0.030636895148161945,544.0,12.0
 fait,286,0.0305301463845795,1721.5,13.0
 le p,282,0.030103151330249718,1698.5,11.0
é de ,282,0.030103151330249718,1873.0,12.0
voit ,281,0.029996402566667274,778.0,21.0
onnoi,281,0.029996402566667274,1246.0,26.0
" que",281,0.029996402566667274,1693.0,69.0
 homm,280,0.029889653803084826,1261.5,16.0
tes l,280,0.029889653803084826,1543.5,22.0
 soit,280,0.029889653803084826,1159.0,10.0
qui n,279,0.029782905039502382,1777.0,18.0
s la ,279,0.029782905039502382,2079.0,18.0
"
con",279,0.029782905039502382,2303.0,67.0
e vou,279,0.029782905039502382,811.0,7.0
ouver,278,0.029676156275919935,1940.0,12.0
. Il ,277,0.02956940751233749,911.0,33.0
Dieu ,277,0.02956940751233749,753.0,28.0
"ment,",276,0.029462658748755047,1811.0,15.0
", mai",275,0.0293559099851726,1772.0,86.0
r que,275,0.0293559099851726,1841.0,34.0
"e.
",274,0.029249161221590148,1782.0,19.0
 comp,274,0.029249161221590148,1794.0,10.0
ns qu,274,0.029249161221590148,1997.0,22.0
 enco,273,0.029142412458007704,1771.0,20.0
ue no,273,0.029142412458007704,627.0,20.0
 j'ai,273,0.029142412458007704,858.0,22.0
 deux,272,0.029035663694425257,1390.5,12.0
entre,272,0.029035663694425257,1895.5,23.0
" les",271,0.028928914930842813,1978.0,63.0
 rien,271,0.028928914930842813,1653.0,4.0
nt pa,271,0.028928914930842813,2044.0,7.0
nt en,271,0.028928914930842813,1926.0,14.0
 mon ,271,0.028928914930842813,1029.0,8.0
les s,270,0.028822166167260365,1640.0,16.0
", ou ",270,0.028822166167260365,1350.0,9.0
celle,270,0.028822166167260365,1693.5,14.0
 véri,268,0.028608668640095473,1549.0,26.0
nnois,268,0.028608668640095473,1252.0,26.0
trouv,268,0.028608668640095473,2021.5,18.0
es pa,267,0.02850191987651303,1860.0,18.0
 dist,267,0.02850191987651303,921.0,58.0
sance,267,0.02850191987651303,1480.0,15.0
ue de,267,0.02850191987651303,2079.0,23.0
s ne ,267,0.02850191987651303,1873.0,28.0
cela ,267,0.02850191987651303,1423.0,60.0
istin,266,0.028395171112930585,679.0,58.0
e me ,266,0.028395171112930585,1229.0,18.0
es et,266,0.028395171112930585,1799.0,24.0
 caus,266,0.028395171112930585,635.5,15.0
se qu,265,0.028288422349348138,1169.0,9.0
 aucu,265,0.028288422349348138,1371.0,11.0
e dan,264,0.028181673585765694,1907.5,13.0
 il n,264,0.028181673585765694,2160.5,29.0
'une ,264,0.028181673585765694,1645.5,18.0
puiss,264,0.028181673585765694,1145.5,37.0
ntre ,264,0.028181673585765694,1890.0,14.0
ssanc,263,0.028074924822183246,1422.0,15.0
t dan,263,0.028074924822183246,2021.0,22.0
oins ,263,0.028074924822183246,2019.0,13.0
disti,262,0.027968176058600802,685.5,58.0
r le ,261,0.027861427295018355,1848.0,7.0
s son,260,0.02775467853143591,2007.5,10.0
es se,260,0.02775467853143591,1412.0,14.0
s aut,259,0.027647929767853463,2018.0,47.0
n'est,258,0.02754118100427102,1376.0,16.0
j'ai ,258,0.02754118100427102,803.0,22.0
fait ,257,0.027434432240688575,2283.0,29.0
tre c,257,0.027434432240688575,1636.0,31.0
rtes ,256,0.027327683477106127,883.5,23.0
deux ,256,0.027327683477106127,1447.5,12.0
pense,255,0.027220934713523683,978.0,13.0
us le,255,0.027220934713523683,2010.0,21.0
s en ,254,0.027114185949941236,1943.5,44.0
idée ,254,0.027114185949941236,453.5,22.0
prit ,253,0.02700743718635879,1990.0,22.0
ce de,253,0.02700743718635879,1925.0,22.0
it qu,253,0.02700743718635879,2119.0,9.0
il es,252,0.026900688422776344,1577.5,11.0
 et p,252,0.026900688422776344,2256.5,14.0
il y ,252,0.026900688422776344,1911.0,23.0
érité,251,0.026793939659193893,1537.0,26.0
t ce ,251,0.026793939659193893,2286.0,18.0
 n'es,251,0.026793939659193893,1378.0,16.0
e cet,251,0.026793939659193893,1581.0,25.0
e l'e,250,0.02668719089561145,1421.0,19.0
ucune,250,0.02668719089561145,1515.5,14.0
 Desc,249,0.026580442132029005,590.0,13.0
le de,249,0.026580442132029005,2028.0,19.0
ainsi,249,0.026580442132029005,2062.0,25.0
des c,249,0.026580442132029005,2313.0,43.0
rent ,249,0.026580442132029005,1147.0,6.0
ant q,248,0.026473693368446558,1854.0,35.0
t con,248,0.026473693368446558,1951.5,36.0
ar le,248,0.026473693368446558,1860.0,13.0
s des,248,0.026473693368446558,1748.5,10.0
